episode,reward,loss,success_rate,latency,energy,adapt_time
0,-5.687141265800598,231.8135986328125,0.64,2.286066936532819,4.097442482080734,200
1,-3.5711852028336537,405.8445129394531,0.69,2.5188166604867175,3.764702262923924,200
2,-6.540698852821372,236.90032958984375,0.58,2.5044994932460907,4.2122754832187566,200
3,8.145357251633065,218.9900665283203,0.71,2.512650452288976,3.931819600919048,200
4,-11.265879575029246,214.94122314453125,0.61,2.525548406010526,3.7318098572100196,200
5,-20.022782979442788,215.657470703125,0.65,2.773925030892489,3.925211452437035,200
6,-10.49313857797518,352.28173828125,0.77,2.6953313754266373,3.515684756282362,200
7,-10.685580388767647,207.20999145507812,0.81,2.7203016820450916,2.9056143210909933,200
8,-12.412817501262516,308.1041259765625,0.61,2.7810901283578477,3.6591085084802923,200
9,-17.936423497667207,185.41738891601562,0.63,2.7327643873077694,3.80580318674737,200
10,-7.805391009113549,202.02674865722656,0.62,2.858981958849025,4.253904419019183,200
11,26.646000872580046,261.0743103027344,0.8,2.482735937391964,3.6153819231780475,200
12,-13.664275497342949,155.8739013671875,0.67,2.717571514597282,3.5503964575347147,200
13,-2.234272930891464,200.11106872558594,0.6,2.509894822482548,4.42280225062463,200
14,15.357192637534837,177.81817626953125,0.95,2.5756616869696933,2.706392123622677,200
15,-8.650568355563784,217.65708923339844,0.78,2.612790882910317,3.5534299682876207,200
16,-31.9222592932528,700.6272583007812,0.81,2.882147986164037,2.9250918369259793,200
17,-5.019796065873379,147.17124938964844,0.75,2.877598363958168,3.320149032981294,200
18,-33.36156010316804,257.74102783203125,0.77,2.6082665168145818,3.131766755548764,200
19,-8.091800526495248,258.72955322265625,0.64,2.684015867404375,3.6264466933272934,200
20,-8.413671036518537,269.2868957519531,0.64,2.834584794733529,3.9332638224182928,200
21,-37.51491771505813,301.1685485839844,0.65,3.151790196309044,3.7405217195186458,200
22,1.14552695297877,198.82179260253906,0.73,2.9234606147389868,3.2521994342526153,200
23,-35.03499906013112,396.0877685546875,0.55,2.9654629949530635,3.1333700396056985,200
24,-57.101214868171965,798.84375,0.64,3.2908916275534508,3.805429521901663,200
25,-68.97370804362446,520.5271606445312,0.76,3.42262879749064,3.4502983132874467,200
26,3.05886022577576,195.00865173339844,0.62,2.431924606670518,4.887447339238944,200
