Episode,Reward,Loss,SuccessRate,Latency,Energy
1,-42.522176166247654,794.5083862304688,1.0,2.0342722823145634,9.938004643619026
2,-42.24557653191052,756.3860107421875,1.0,1.9289276440060452,9.979722386110744
3,-40.57603823774112,544.4436279296875,1.0,1.8760009318156237,9.252032632973009
4,-46.83592462649375,673.2433471679688,1.0,2.160227581634228,11.433807065699327
5,-51.799031462020665,734.92607421875,1.0,3.0200136200112695,14.196761811041114
6,-47.379673415154855,628.8294555664063,1.0,2.341063416759228,11.670543631291755
7,-49.95499667364192,731.7533325195312,1.0,3.0071380294356915,13.112367853634339
8,-34.963608671324415,455.5290283203125,1.0,1.7671889546596182,8.004046579328017
9,-24.039402973143908,258.92454833984374,1.0,1.5295266381650263,6.225946319623737
10,-18.31486407930647,190.31057739257812,1.0,1.301494809791147,6.009239035026704
11,-48.00085021127213,590.9084716796875,1.0,2.609025899543497,11.085039859230765
12,-41.057395607982,468.1154418945313,1.0,2.1483647029274007,10.116424549900911
13,-35.141730499150405,338.0951416015625,1.0,2.069495636025833,9.035347983293155
14,-25.790799828303015,286.8174682617188,1.0,1.5418448773122775,6.949849541040126
15,-30.26797935366698,270.10712280273435,1.0,1.8148132854568133,8.015253141827253
16,-49.8954163146319,582.4391235351562,1.0,2.8770013022192127,13.355923858189383
17,-34.659133459596404,308.3314697265625,1.0,1.874312966515667,8.312510437302501
18,-28.63080232718462,226.89866943359374,1.0,1.8218064609331341,7.6657760419851035
19,5.967837725255734,189.58618774414063,1.0,0.9954110084649431,2.863677932164858
20,-18.195476701505534,147.12120056152344,1.0,1.3500153723058628,4.623861489223451
21,-26.45930488839024,185.42049560546874,1.0,1.5988003103739832,6.160401241495932
22,-20.949201227566473,157.46169738769532,1.0,1.5542391978704353,6.031155470686557
23,-18.570305761931188,182.87767028808594,1.0,1.2450324407848063,4.843032746022186
24,-6.269062460517496,140.40076293945313,1.0,1.3112646733969595,4.451737938870857
25,36.252599335473064,457.6245910644531,1.0,0.9355342164700572,2.642470823898902
26,108.32898006616274,1857.4187255859374,1.0,0.67328933186305,0.9804573274521998
27,100.18872057840306,1574.4064453125,1.0,0.807669399431162,1.8407729816658875
28,107.10611466022941,1627.055712890625,1.0,0.6887441186615684,1.1450164746462743
29,101.59785462944535,1363.2249755859375,1.0,0.7754067636480362,1.8115348725969505
30,40.427911219594414,371.3303161621094,1.0,0.8755492745879996,2.0696359540148546
31,42.35595396159774,395.1701965332031,1.0,0.9169108991780521,2.351776684022151
32,-3.9357540308498713,249.91257019042968,1.0,1.1961860230867318,3.5363312075606155
33,96.73087133426469,899.4286010742187,1.0,0.88060571693683,2.235683197847544
34,107.62100428320555,1090.3881103515625,1.0,0.68708179863546,1.2532666991132013
35,-7.222514699356523,345.97182006835936,1.0,1.046860158964547,3.2842991323014434
36,12.178620944168316,249.68541564941407,1.0,1.0618503615175934,3.2703368172166556
37,25.214383941499506,251.04489135742188,1.0,0.9607383507632523,2.8788732658507907
38,39.245867263023676,339.4064514160156,1.0,0.8859463520879838,2.348037633814414
39,98.55194416611864,998.6578979492188,1.0,0.8242391063941745,1.9002822109867654
40,107.03205798598728,1069.746484375,1.0,0.6577599161676859,1.0266903891968178
41,100.12352877434145,904.2464965820312,1.0,0.7352782563272459,1.692450881862995
42,33.716328254354266,338.61956176757815,1.0,0.9352680181354988,2.637350126538039
43,35.961129736007656,313.6501770019531,1.0,0.8496817258165383,2.3921696573168703
44,99.19091924970526,793.6266357421875,1.0,0.7922460485140986,2.0022271276890033
45,13.88135461687623,243.9742919921875,1.0,0.9823425479019642,2.806248003120082
46,99.22229617740908,815.541748046875,1.0,0.6951829120093417,1.8249688575672591
47,94.71539810115728,892.7792358398438,1.0,0.8045520592521528,2.2035287002752564
48,14.620920372009671,280.9736328125,1.0,0.9194985955900913,2.741867332343423
49,-31.460413301799807,721.0481567382812,1.0,1.2713520702965162,5.3929215311749985
50,33.34432433390632,306.54534301757815,1.0,0.8977536890102062,2.6342265919071375
51,97.79871587824401,832.5458862304688,1.0,0.7385220676321232,1.9282961881949237
52,97.81198827551323,948.485498046875,1.0,0.7912538038210098,1.9411648210761256
53,-0.6010213417811983,246.01276550292968,1.0,1.1999728086343748,4.415613853182298
54,-42.11171423960718,993.973583984375,1.0,1.691624870573801,8.758890028886475
55,-19.42252627509234,427.1522521972656,1.0,1.2858693447455536,5.1492082818858504
