episode,reward,loss,success_rate,latency,energy,adapt_time
0,-126.73371632177094,1802.990966796875,0.73,2.312954513220795,3.6141352527105,88
1,-105.34976521279057,1832.41357421875,0.67,2.150134252735493,4.048087252297558,88
2,-157.21845327254633,3388.133056640625,0.54,2.9055924126574566,4.648589576055911,88
3,-112.93739751205644,1807.298095703125,0.71,2.0826341853564547,3.409682571113185,88
4,-103.67132370204054,1217.260986328125,0.75,1.8603479930827282,3.4427251855418213,88
5,-93.54135344770232,1550.4012451171875,0.46,2.5802664311980728,5.846324964763157,88
6,-120.65883158139184,2395.4443359375,0.41,3.2179131536450116,5.204117107931238,88
7,-90.41714004335765,1566.384765625,0.48,2.273806557492269,5.070676321939098,88
8,-117.89229828437567,1624.172607421875,0.63,2.490485901265347,4.496014365181824,88
9,-88.82607204270899,1285.60986328125,0.46,2.419981806596964,4.923215914299174,88
10,-166.83917475690657,3577.128662109375,0.56,3.2250751325951943,4.143583489469056,88
11,-98.80279214061692,1438.825927734375,0.59,2.079306788573859,3.682115809092892,88
12,-111.25179185803043,1482.1541748046875,0.52,2.486600050442145,4.438843948966279,88
13,-99.7764143632819,1382.2183837890625,0.47,2.437789862129031,4.857924326748117,88
14,-104.90624946365699,1701.0330810546875,0.51,2.5487256627415427,5.311721973092816,88
15,-136.1060777265338,2479.3603515625,0.65,2.4414893010508996,3.937266453265091,88
16,-141.9509670466954,2796.196044921875,0.45,3.6900763283767524,4.41985733516366,88
17,-135.84231189432165,2576.221435546875,0.4,3.5608607364171942,6.184527830529563,88
18,-114.4779671990574,1369.0233154296875,0.7,2.3902582717734235,3.5278800694636203,88
19,-169.70087947294434,2635.625,0.83,2.494459475479528,3.1155042702760958,88
20,-124.08302703945665,1827.5926513671875,0.61,2.685802217070803,3.900641512919469,88
21,-174.67973636718614,3250.8330078125,0.73,2.847711211340587,2.805380536669477,88
22,-145.38389123551815,2072.525146484375,0.71,2.3598498136133275,3.415385643260625,88
23,-121.80313110492786,2118.394775390625,0.53,2.5545164218310306,4.302238474159547,88
24,-141.577916901661,2220.938720703125,0.61,2.560999725453838,3.4326220628941275,88
25,-133.8649247193491,2611.891357421875,0.52,3.044495042963137,4.418967341562132,88
26,-118.5541008941178,949.45068359375,0.91,2.2620731284037063,2.9704635309170615,88
27,-134.41692708956168,2157.17724609375,0.57,2.9569090868025394,4.072662729108674,88
28,-148.18866511481764,1832.00341796875,0.67,2.9885930839598713,3.7370274463512465,88
29,-107.34740234110234,1623.18408203125,0.57,1.956205211179633,3.5797977845939064,88
30,-113.45036832853089,1763.352783203125,0.44,3.1062395478207403,5.563979870457899,88
31,-89.84385473349889,1194.6083984375,0.48,2.5674502334875755,4.806857481929453,88
32,-93.46546518006917,983.6636352539062,0.68,2.115939423339787,3.7920977057314404,88
33,-102.21476750214788,1141.5963134765625,0.6,2.3152973168251667,4.038281583869332,88
34,-157.6174539248385,2567.27197265625,0.6,2.8784196811234373,4.175335521354473,88
35,-92.77959231420053,1030.5723876953125,0.7,1.876636349733923,3.678525813048605,88
36,-112.30254802099006,1388.7562255859375,0.6,2.3446235110647957,3.955076819227929,88
37,-94.3270142806797,1250.6141357421875,0.46,2.9254546586270167,5.840892730405575,88
38,-95.1930875526495,1069.5211181640625,0.74,1.9552661967813771,3.7147785752959104,88
39,-135.6604511346625,2092.860595703125,0.55,2.871497597697743,4.50765972359488,88
40,-102.02214911552801,1453.4302978515625,0.5,2.3810981934905913,4.967556502394708,88
41,-104.63581788021781,1380.0787353515625,0.52,2.6513520292668358,5.088364333555062,88
