episode,reward,loss,success_rate,latency,energy,adapt_time
0,-22.178031509527038,252.30319213867188,0.39,1.9780218204888662,5.2804969714643555,2
1,-1.4913270954853033,180.2666015625,0.55,1.8539099207332679,4.589353454177556,2
2,31.494322690851547,297.05670166015625,0.75,1.9385366427662432,3.9648219888110856,2
3,-17.85704432723025,206.4298858642578,0.45,2.182205484823262,5.203906897235073,2
4,24.606702695701607,254.0665283203125,0.68,1.8135287125483206,4.1216617202735994,2
5,-15.366642390452633,190.37696838378906,0.46,1.8435609667181352,5.454100879764119,2
6,0.5566692130758497,156.0784454345703,0.59,2.0830304962329715,4.165706552769183,2
7,27.0945077624039,259.9218444824219,0.71,2.0127547981608713,3.952142636821566,2
8,0.3493135374443881,177.37953186035156,0.52,2.0926677039325687,5.213413549047658,2
9,3.1075251806759496,171.87640380859375,0.59,1.711814702825961,4.409505120998465,2
10,6.8595076399490935,186.76953125,0.56,1.7594004531842857,4.841816269171656,2
11,-19.321414191584253,228.73422241210938,0.41,1.9963930730286272,4.673568750802077,2
12,-9.500768539723516,185.2808380126953,0.5,2.6039998871073378,4.227562519033615,2
13,-29.4318444124344,213.16690063476562,0.49,2.11482636334554,5.4102492107426325,2
14,-26.426327340068866,264.7160339355469,0.41,2.5250666403148623,5.862782716025472,2
15,-2.8250330608532153,256.0453186035156,0.63,2.0722177917700466,4.3523577323565315,2
16,-5.9961519480716845,173.15231323242188,0.54,2.0721727218803063,4.781395814780131,2
17,-9.486701813992823,157.9623565673828,0.57,2.032883720551866,4.184694042967696,2
18,8.22520789261889,161.33216857910156,0.69,1.785466908389149,3.9206175500445775,2
19,-8.109531837302093,137.63182067871094,0.67,2.419002864984761,3.949003118938903,2
20,-13.794576081675707,183.79954528808594,0.58,2.1192672860257202,3.9886575214643285,2
21,-0.6135580041927255,250.52085876464844,0.64,2.0347382243971084,3.96953361800407,2
22,3.217127704436784,174.52957153320312,0.53,1.8414203743624389,4.736435532636673,2
23,-1.04764320591579,170.43885803222656,0.51,2.201502829479827,4.751727648000996,2
24,-16.26511148106001,162.01783752441406,0.55,2.024719685637523,4.99906322593169,2
25,-2.342376525849531,136.46763610839844,0.6,2.175191226810033,3.4676264103828323,2
26,-5.681786632834516,175.1260223388672,0.49,2.2384359547997605,4.693391540829724,2
27,-19.574030698337356,192.70127868652344,0.43,2.2958188024462753,5.2780066695310515,2
28,3.8425533919103714,225.27676391601562,0.7,2.0853695600408,3.8958494721548638,2
29,17.255062502822256,214.84788513183594,0.73,2.0562529501276576,3.829297512503102,2
30,-26.6743547407262,314.2290344238281,0.46,2.900283871615384,5.629508010408636,2
31,-19.081407701921073,232.65919494628906,0.45,2.188919522040549,5.118889741513831,2
32,-14.859936343187165,140.8909912109375,0.56,2.098644929491851,4.719632078861483,2
33,-4.5262377301271215,171.41046142578125,0.56,2.5654918740434303,3.949927351242881,2
34,-0.30779037434522394,171.45242309570312,0.51,2.004314147209542,4.744468492113422,2
35,16.44042366626634,208.3545684814453,0.65,1.9512708101762568,4.141222494572871,2
36,-12.65769159110345,188.54348754882812,0.65,2.30837725550699,4.2072366081412875,2
37,-1.6953244095647904,166.21585083007812,0.51,2.38461685625921,4.453833615506844,2
38,-2.838881589308656,116.9087142944336,0.72,2.256438540688484,3.82363160967259,2
39,16.461629224921055,204.91952514648438,0.65,1.9478552151697672,4.508898668499818,2
40,-12.695540065761215,121.36575317382812,0.6,2.154432596248779,3.541123397429194,2
41,-10.349555434155214,149.73313903808594,0.5,2.1456567111097757,4.642770750666196,2
42,-14.170773984075161,186.24449157714844,0.51,2.397788473431282,5.122408455650036,2
43,27.776840093294496,320.81036376953125,0.84,1.9517096736223636,3.073349805515982,2
44,17.786847301935573,205.82252502441406,0.69,2.2648823305061367,4.043378068388566,2
45,-11.948421838100181,156.1765594482422,0.51,2.3730276770692162,4.918951903514151,2
46,-8.201644452497995,231.1268310546875,0.57,2.1367420591115027,3.9488568464992184,2
47,-10.27190324782493,153.5831756591797,0.57,2.1129322362947183,4.0743649419061105,2
48,-13.943391270007652,115.31104278564453,0.59,2.125288517420109,3.6862898193658302,2
49,11.177851258992995,166.83291625976562,0.59,1.7850596925088043,4.382410620523239,2
50,14.619707717304628,180.45172119140625,0.63,2.13643815332654,3.8810336688539078,2
51,-25.848298274704263,386.7186279296875,0.42,2.682790431600211,5.297743919864622,2
52,-8.643462538266512,136.681640625,0.54,2.4814183515633643,4.476284015157561,2
53,42.82212695572166,401.5010070800781,0.89,2.1214748842244298,3.0034706764428134,2
54,-21.854248353100726,184.77088928222656,0.55,2.5108499042505517,4.806723883460078,2
55,-4.257309351254406,176.8693084716797,0.64,2.034888127071396,4.248814930553732,2
56,12.212898975230445,121.41442108154297,0.76,1.5407433294490407,3.6836917591448706,2
57,14.64121716129791,207.63067626953125,0.85,2.45418089549618,2.8023166942427817,2
58,-22.766365116650107,241.8104705810547,0.49,3.0373237003351234,4.974611174027865,2
59,8.29230441638834,177.15496826171875,0.76,2.0847686580450104,3.477577139585281,2
60,3.6166479778442593,157.353759765625,0.67,2.109078654964407,3.4792798085151997,2
61,11.480775848288658,109.49529266357422,0.86,2.1619514652050227,2.8656047309824593,2
62,15.330440663657491,158.5111083984375,0.73,2.148361411582093,3.9892732613570465,2
63,-31.76889060301683,497.7813720703125,0.45,2.8526291733041194,5.205364267355256,2
64,-17.008242276597954,194.84701538085938,0.59,2.77569277909601,4.465963821858397,2
65,-12.541628499698277,162.98306274414062,0.66,2.5996441600483466,3.5757762546764202,2
66,-6.70955812073548,125.20579528808594,0.57,2.502436845083365,4.388360565657119,2
67,30.71898940926414,252.5089569091797,0.82,1.7043883129192712,3.1336404397360744,2
68,-10.291047409391979,119.62045288085938,0.58,2.1325554074659374,4.382230200536751,2
69,15.349987614063622,157.14053344726562,0.63,2.025933659988856,4.07433672573271,2
70,-18.45611005901795,170.0275421142578,0.43,1.952318970635949,5.104774620971115,2
71,-8.554611594497004,148.8587646484375,0.49,2.2442728545525434,3.688785893137587,2
72,-7.756840401761842,108.5200424194336,0.56,1.9039519270815046,3.747479279447892,2
73,-15.917694260536749,214.22421264648438,0.4,2.2676873907409227,5.74557987246812,2
74,23.90298561049314,197.18328857421875,0.83,2.0834244246533187,3.204995364436626,2
75,-11.00137412389735,126.07609558105469,0.54,2.421243302065933,4.898719100536697,2
76,-3.0648781442868938,98.63713836669922,0.66,2.18701734834047,4.268973407462774,2
77,5.873106233187947,121.11663055419922,0.66,2.039183022419433,4.432183679481273,2
78,17.46221891767378,155.84185791015625,0.74,1.9444036881881273,3.2169798786880106,2
79,4.8701106323671866,126.9514389038086,0.59,1.9655938753712223,5.0731165161056815,2
80,-12.800146915295947,153.6802520751953,0.48,2.1189021349462127,4.818129937856182,2
81,-16.082725309379853,180.29010009765625,0.41,2.2279556370512847,5.735467380467136,2
82,13.320712581431337,143.1208953857422,0.6,1.7617138189708434,4.0823576617183654,2
83,-2.2780126411256134,121.96266174316406,0.5,1.8342106576197836,5.238497200929689,2
84,28.81685498472484,290.2610168457031,0.76,1.723264099989855,3.7076075644857895,2
85,1.6492559354177132,114.84984588623047,0.62,1.985132383275118,4.7139011227765115,2
86,13.746931301687049,164.72735595703125,0.68,1.753162450454201,4.203573660467686,2
87,-3.537155235891859,109.08386993408203,0.61,2.0076570898794643,4.160799271998271,2
88,3.5891264796922897,104.79249572753906,0.6,1.9853922969802333,4.205807708894064,2
89,-36.757980650871076,284.12158203125,0.38,2.3236611824169815,5.702664573672793,2
90,-8.14833737359455,151.95608520507812,0.47,2.155830724257015,5.506837273313115,2
91,0.0045511047493249634,164.31967163085938,0.46,1.740922831012495,4.432897043275332,2
92,-0.0696540401856609,97.46895599365234,0.59,1.7315867719191036,4.829148956775782,2
93,-10.702538902471993,145.68380737304688,0.48,2.2934870218649395,5.957952096453585,2
94,-0.17493642083681493,118.77896881103516,0.55,2.0030085485886233,3.886877231551432,2
95,6.457891084563563,126.12757110595703,0.59,2.131339093241025,4.738077729015756,2
96,-7.8361331384092665,109.25881958007812,0.53,1.9150148303481365,5.141776501950393,2
97,5.1358338397544685,126.73893737792969,0.58,2.0543933803661756,4.932142306133357,2
98,-10.806667823533346,97.84663391113281,0.58,1.848032051442845,3.863962308842751,2
99,-9.399531971578128,111.3841781616211,0.54,2.0361802099247615,5.145461164957474,2
100,14.501759279644283,124.87296295166016,0.61,1.8859011626534932,4.302662653469163,2
101,0.2115831520081386,187.4440155029297,0.56,1.9306341140285308,4.085282392279234,2
102,7.016774626173792,113.42353820800781,0.56,1.8613065058463163,4.584208423292431,2
103,10.801558781168346,138.17303466796875,0.6,1.8529458663270588,4.439933937723501,2
104,-7.690708368611048,116.42031860351562,0.48,2.2840253037764313,5.4185515938260815,2
105,-22.56876356771084,136.67398071289062,0.49,2.047910032236929,5.283645685553775,2
106,-4.969115359432941,110.98468780517578,0.56,2.0720234562330013,4.625236582453764,2
107,-19.95373988409617,168.82659912109375,0.58,2.3617911643508633,4.204963416281409,2
108,31.107281639166928,279.0144348144531,0.82,1.534002001056804,3.4226083308465953,2
109,4.103244848867064,113.54304504394531,0.55,1.9056526799587048,4.9193109623901465,2
110,-12.497274070060811,112.86348724365234,0.52,2.274972389597262,5.069546650854225,2
111,6.497133301068381,153.70750427246094,0.64,2.0093487776210224,4.3649974126893625,2
112,-28.062720146706965,185.43016052246094,0.62,2.454220446762547,4.282392830461305,2
113,-16.564516992103684,106.86003112792969,0.49,1.6736443652317388,4.744455661518397,2
114,-11.394719000208966,106.99490356445312,0.51,2.092444568567368,4.6835313710588675,2
115,-1.6853383315634005,107.27357482910156,0.51,1.736543562184615,4.873951423720337,2
116,-2.7869205837482767,87.32283782958984,0.56,1.94621451062761,4.814071797313323,2
117,-11.23995504235667,147.13218688964844,0.39,1.794178834339993,5.343924699860646,2
118,10.101972594772931,127.7594985961914,0.57,1.7046053711633917,4.656123176692494,2
119,-21.62080269118509,180.24559020996094,0.53,2.1890896843303396,5.291055648714676,2
120,2.8447481391370957,121.74880981445312,0.58,1.7618027454011753,4.365751487272975,2
121,4.942946885916321,100.8746337890625,0.55,1.743645834063361,5.01127765113218,2
122,32.343139815298265,261.03076171875,0.76,1.7320549425942093,3.7861909753394154,2
123,-3.5964417889494698,107.28897094726562,0.49,1.8558459145063833,5.13257536856758,2
124,-11.077990905528338,137.8394317626953,0.43,1.9324386103292466,5.307732070478207,2
125,-18.976247485533435,155.74652099609375,0.51,2.4721753879576145,5.4324214391027255,2
126,8.390637138291723,113.9071044921875,0.6,1.763545031335771,4.8364546295728,2
127,27.835282105108476,178.0265350341797,0.7,1.6948285932908584,3.947545404633764,2
128,34.850696168192755,219.13304138183594,0.72,1.4185835901615134,3.8392226290084626,2
129,-18.448537360502247,164.10670471191406,0.4,2.3220588626993823,6.001104911209822,2
130,-0.013217798618562426,95.08202362060547,0.49,1.6694313765709847,5.2496144784509235,2
131,-13.990946078997737,106.62176513671875,0.54,2.515946576302479,5.35856236454245,2
132,8.00454881367321,102.4405288696289,0.59,1.9687719904020933,4.4894192930005845,2
133,-22.225094149512078,110.0103988647461,0.52,2.199865998473296,5.36767703125533,2
134,7.42030716972949,89.34229278564453,0.55,1.6561655213131374,4.659134120524679,2
135,-19.207747813753464,110.81163024902344,0.48,2.33651572686687,5.282302917532798,2
136,14.972938900291922,127.4674072265625,0.65,1.70328190036446,3.8948834616507946,2
137,-4.651436267640342,92.72135162353516,0.55,1.9743933301159604,4.736274099725044,2
138,24.950244645235315,152.10104370117188,0.68,1.6264062462561242,4.017643256231509,2
139,5.899729144098671,84.18760681152344,0.55,1.8295731331288418,4.776171773822431,2
140,3.7838564198979086,86.08477020263672,0.58,2.226930477335309,4.803111243644451,2
141,-29.283120049410453,418.6324768066406,0.33,2.2782946232515284,6.032358589713955,2
142,2.527224152711071,84.84941864013672,0.52,1.8941708777101667,4.836140688952039,2
