Metric,Agent_A,Agent_B,Mean_A,Std_A,Mean_B,Std_B,t_statistic,p_value,Significant_p005
rewards,Meta-RL,PPO,-8.878859773995543,2.3841383570307846,-4.26628680846156,3.7973137964777277,-1.6983584133099923,0.164671436247624,False
rewards,Meta-RL,Greedy,-8.878859773995543,2.3841383570307846,4.260595085463768,1.0990333415046114,-9.113338922859295,0.0008041931034696576,True
rewards,PPO,Greedy,-4.26628680846156,3.7973137964777277,4.260595085463768,1.0990333415046114,-4.145240908958268,0.014315460580288526,True
success_rate,Meta-RL,PPO,0.53312,0.02245764012535599,0.53548,0.0213783441828408,-0.15392401350113397,0.8851232902591883,False
success_rate,Meta-RL,Greedy,0.53312,0.02245764012535599,0.54916,0.005439705874401707,-1.5182043876570595,0.20357465645956258,False
success_rate,PPO,Greedy,0.53548,0.0213783441828408,0.54916,0.005439705874401707,-1.0496206249704487,0.3531224590437492,False
adapt_time,Meta-RL,PPO,53.2,74.06321624126244,54.6,34.00941046239996,-0.03601650375013724,0.9729949197331378,False
adapt_time,Meta-RL,Greedy,53.2,74.06321624126244,160.2,79.6,-2.371345808401959,0.07670841200979933,False
adapt_time,PPO,Greedy,54.6,34.00941046239996,160.2,79.6,-2.574721546127136,0.06167026069898962,False
