episode,reward,loss,success_rate,latency,energy,adapt_time
0,15.285735583485128,227.75347900390625,0.75,1.8923176575224896,3.6141352527105,200
1,16.566506264230924,235.4793243408203,0.68,1.7773160205150729,4.029239634018534,200
2,-26.736407853857365,695.4246826171875,0.58,2.3861433028483137,4.747323079957755,200
3,33.17762172422611,298.3616638183594,0.74,1.8265574830788716,3.4140696749827852,200
4,28.73859406617281,301.6109924316406,0.76,1.554401847879652,3.3866180303316087,200
5,-7.984653317690771,289.28009033203125,0.47,2.1593446189834555,5.725573080703406,200
6,-29.89754519253136,517.6282958984375,0.46,2.8406607511693216,4.808324873535468,200
7,-5.50419404387447,363.4466857910156,0.59,2.209518019609118,4.812606665977445,200
8,-17.523073699117788,476.39129638671875,0.65,2.1295993130197512,3.7356458091684797,200
9,-0.3602887769896057,286.5321044921875,0.57,2.0331769560329587,4.04553027943455,200
10,13.240741422605836,198.48753356933594,0.75,2.1312271128017457,3.344679767305456,200
11,-10.35497878776502,221.5103302001953,0.56,2.5037993160849585,4.827921183814118,200
12,17.32078369177089,224.05052185058594,0.7,2.253596328879319,3.841661309091722,200
13,-26.24318646245505,368.61590576171875,0.5,2.5003546204728604,4.969666240859786,200
14,2.926293497621174,265.2740173339844,0.78,2.268927686361775,3.4425369603832308,200
15,-22.35849948403854,260.4644775390625,0.56,3.073706982958434,4.6628878009238655,200
16,-0.31588984508142204,197.13717651367188,0.59,2.398942962632098,3.85317682745957,200
17,-14.509607153330855,423.0562438964844,0.72,2.3069868498439963,3.795139096818815,200
18,-3.5358462754219104,279.569091796875,0.65,2.460261107388605,3.8796972500605826,200
19,-40.65541531064418,341.32293701171875,0.68,2.7457799674161336,3.5264904646995636,200
20,-16.92922020752561,271.6687316894531,0.7,2.981109132950664,3.8011194350001305,200
21,-35.73404995349786,236.39678955078125,0.6,2.5186799822716965,3.86897538832245,200
22,5.204825501334966,171.34193420410156,0.74,2.293163034705419,3.6948888131270423,200
23,-24.61935326682402,320.1800231933594,0.77,2.783771571721917,2.634542319618329,200
24,5.656135045945042,27.973779678344727,0.91,3.184996386874546,2.711888303266329,200
25,-12.592987980886356,212.47457885742188,0.93,2.4909073603639786,2.573845118772052,200
26,25.157414914702024,203.0993194580078,0.93,3.3893655875138147,2.549575715421945,200
27,37.46891110850471,343.86749267578125,0.87,2.6078366232084673,3.193907999379459,200
28,18.12736849551657,307.2740478515625,0.9,3.0270442185240887,3.0269813159614007,200
29,-37.46834327208738,134.18544006347656,0.78,2.885652363565693,3.1887436158241758,200
30,-0.787494265182147,166.76466369628906,0.88,2.7050664371560633,3.1787161586601123,200
31,-5.288587006291024,147.46005249023438,0.82,2.862416308707827,2.9395577772390893,200
32,54.52904408187966,358.7931213378906,0.95,2.8882466602293344,2.3529722623464178,200
33,-54.73893393859142,920.1666259765625,0.77,3.3241719210840284,2.5866272895150484,200
34,-8.561381824074772,200.2887420654297,0.53,2.859641440454371,5.01572302179712,200
35,-3.833234319606312,198.97998046875,0.7,2.6940852694157438,3.2825732434659605,200
36,-39.14443809130667,372.27734375,0.63,3.3656828936434433,2.897222978688599,200
37,-35.6358690842527,444.4857482910156,0.67,2.914792150879853,3.603141297823678,200
38,-22.782068331141744,206.8289794921875,0.8,3.037579123915391,3.4085125955380744,200
39,-3.871194144595144,324.9623107910156,0.7,2.6658698956914524,2.8275026069493334,200
40,-37.70575314512842,440.2184143066406,0.88,2.9499584184200365,2.9943700773042714,200
41,7.140386034423585,185.00213623046875,0.59,1.987655196718688,4.151869684858486,200
42,-9.622376599222719,154.06504821777344,0.62,2.7171196833098046,3.566811502311697,200
43,-21.627147640629275,223.89976501464844,0.57,2.359525094981864,4.208095393695704,200
44,9.629668234423782,273.1165466308594,0.91,2.3618461488218645,3.0264802701310134,200
45,-2.1551139467473774,166.6268768310547,0.8,2.94652071603032,3.171934094051846,200
46,-2.5063428516890767,267.3523254394531,0.74,2.366052235869125,3.4801352919376582,200
47,1.2301810821490307,246.8573760986328,0.84,2.6958602037631008,3.4072214987418152,200
48,6.12219881422461,233.48280334472656,0.78,2.655172136704933,3.4446390810864367,200
49,-22.96975147525478,278.8829040527344,0.61,2.600830564736346,4.429233387330632,200
50,26.007782088177457,250.7128448486328,0.79,2.569282593652464,3.5751331232134,200
51,-20.768178060868664,155.77610778808594,0.66,2.6012226197630204,3.294842699432159,200
52,8.685312380674318,235.14378356933594,0.76,2.638657763028327,3.246656711261827,200
53,-33.39225652580528,148.75540161132812,0.65,3.0244591124910776,4.153314867940987,200
54,-9.788185107710163,209.0787353515625,0.58,2.649866493866299,4.351030331194893,200
55,12.086943153164796,190.52467346191406,0.57,1.7864442308316766,3.775735227083104,200
56,-10.949374857501844,212.51695251464844,0.77,2.709666437326562,3.5031142948756506,200
57,6.027932110617229,223.86630249023438,0.7,2.0781785302021727,3.4014757204368755,200
58,-14.57173302071105,197.1056671142578,0.51,2.5774345683953546,4.436615989224016,200
59,-18.774943206680437,134.817626953125,0.55,2.155862723280411,3.521196778188667,200
60,13.615115192193215,203.41615295410156,0.8,2.3187928966289504,3.3997358461120295,200
61,-13.313245571902257,198.3363800048828,0.72,2.1789954198202746,3.609613549550686,200
62,-7.410879088398573,292.6356201171875,0.76,2.62996210792229,3.036378832359114,200
63,6.685866666098661,276.893310546875,0.72,1.9113335864194752,3.006217651743145,200
64,-1.8689592369906123,121.17213439941406,0.67,2.2880236866542853,3.7790257280350885,200
65,-17.173030294606193,253.10414123535156,0.54,2.284748086310598,4.084952795939917,200
66,-31.118871806820305,472.14776611328125,0.44,2.3101397949365885,5.501206582980745,200
67,-8.122645439982037,214.50448608398438,0.66,2.7570122157213035,3.6542358689254564,200
68,-3.6790644796420864,238.99411010742188,0.55,2.518658929461054,3.879789192541586,200
69,22.051704322609602,239.37583923339844,0.69,2.157962093271909,3.7830907908237794,200
70,8.814838834925247,178.9109649658203,0.61,1.9412138298085384,4.404009669888889,200
71,4.643105587323035,163.00697326660156,0.58,2.1051733572819655,4.543429600152809,200
72,-25.090195487575997,208.29237365722656,0.5,2.54399855862967,4.687653699689254,200
73,3.140670428850129,202.178955078125,0.61,1.8230437723356898,4.356111916153953,200
74,4.480371931818269,189.86021423339844,0.62,2.074110279468851,3.997806459076489,200
75,12.85919214468636,178.7384033203125,0.61,1.991114235336474,3.7324441704427707,200
76,-16.29154127091543,195.74472045898438,0.47,2.1830437051230365,5.052549246221958,200
77,16.116256344188635,269.7338562011719,0.68,1.7268926270700107,3.7718788541306605,200
78,-13.357516047004168,115.81050872802734,0.69,2.129057810365489,3.778966443721937,200
79,10.407183360701197,180.50546264648438,0.52,1.601046994893552,3.390402779757516,200
80,-28.500696549604875,385.18133544921875,0.56,2.5548783361358676,4.5531873657633986,200
81,-13.189644925328118,239.3202362060547,0.49,2.1734128934551773,4.571222538987087,200
82,22.33006497648916,251.5599822998047,0.8,1.9209980966108016,3.5358344915429005,200
83,-11.146050766844262,107.33859252929688,0.68,2.366819298691901,3.837160881652574,200
84,8.993534408612497,135.68096923828125,0.63,1.8933013094733884,3.8981095942556494,200
85,-1.861722243114059,150.98455810546875,0.49,2.0562586164285515,4.372222170193035,200
86,8.885388461644972,127.04536437988281,0.79,2.004516729201423,3.4263527986133155,200
87,-6.556626665389359,145.4302978515625,0.54,2.3322979423079855,5.140633744658852,200
88,22.44027351471925,203.82635498046875,0.68,2.029720052662814,3.6409821041751,200
89,0.07936830425540364,129.16709899902344,0.58,1.8343322991946103,4.306669731037371,200
90,-26.30914364958347,140.24093627929688,0.56,2.398593487044305,4.327676757140644,200
91,-22.028098867450467,239.46142578125,0.53,2.3064511292295173,4.888246956936554,200
92,4.986088587612599,159.3052520751953,0.62,2.0253955400964503,4.037129438438943,200
93,6.5067850503102775,127.95365905761719,0.69,1.9117653882118346,3.6910489895584133,200
94,-23.331183493819132,176.34852600097656,0.47,2.539654600787245,5.840835928161461,200
95,-5.840470535979442,187.94883728027344,0.55,2.111166074376249,4.683786702152317,200
96,-8.45664207632398,190.34764099121094,0.64,1.9569982649554274,3.7015966999709016,200
97,-22.022877638105975,190.74862670898438,0.53,2.511438051524989,4.621167817922867,200
98,1.3343242653899665,156.61216735839844,0.62,1.9024785640492352,4.265534644275664,200
99,-3.5722824900611343,129.33413696289062,0.54,2.111242746300069,4.939245754639064,200
100,-47.55041129495083,607.4651489257812,0.46,2.9325860312913665,4.44378924356083,200
101,6.732181967210032,130.83523559570312,0.58,1.9778010415985796,4.505550864537517,200
102,10.765378904847964,149.83294677734375,0.64,2.204800577872503,4.309259257181256,200
103,-4.208636448101352,138.3329620361328,0.52,2.218359303344648,4.796327357993996,200
104,-18.002427501517225,111.59552001953125,0.58,2.3654987500842894,4.717655208544058,200
105,15.412788782780638,262.8710632324219,0.75,1.7689030880066676,3.4775239395953546,200
106,-10.744559618109271,166.7417449951172,0.53,1.9102998492385457,3.852951824521233,200
107,3.9520479918516074,110.43229675292969,0.6,2.1235751989003844,3.6673848614340163,200
108,15.266626558209538,159.47972106933594,0.7,2.026423047165154,3.6534607924672784,200
109,-19.02448784518322,248.15750122070312,0.53,2.1082988365848725,4.732121099210285,200
110,-6.304883485742806,151.54525756835938,0.55,2.0739864242191834,4.571021696251935,200
111,-11.726542182849741,102.94442749023438,0.68,2.2634406355073273,3.9565250604172157,200
112,-1.9986085394658488,95.74616241455078,0.63,2.214346045900635,3.4464590603772742,200
113,-0.04615852568299772,205.67385864257812,0.6,2.010056366828382,4.281227312776747,200
114,0.9802240084746572,117.66574096679688,0.56,2.18937019799861,4.64098918539482,200
115,-8.474036872168213,142.17636108398438,0.68,2.2282522855606732,3.8681325719142743,200
116,-2.1405120920796534,147.7391815185547,0.79,2.143331810926892,3.4633355514136177,200
117,-11.7078341803646,108.17420959472656,0.57,2.7504329988715277,4.539927324765026,200
118,-10.09125287874165,107.68240356445312,0.55,2.458771672517099,4.465480749424198,200
119,7.07684019978818,140.67333984375,0.62,2.2933869226527412,4.002203280992229,200
120,11.104826744102525,204.50601196289062,0.74,2.083402771778283,3.7339793059609914,200
121,-12.306094565624754,139.45230102539062,0.52,2.1312640736520065,4.973253730885321,200
122,-24.049288048694272,160.77120971679688,0.52,2.360588768437918,4.847351550724424,200
123,15.776566413589777,130.14553833007812,0.65,1.9904086416042188,4.146862385132312,200
124,-8.217552166075734,200.01702880859375,0.57,2.5674340325330878,4.305516115815479,200
125,-8.16655660939233,130.66754150390625,0.51,2.2972528522544295,5.491874870468391,200
126,12.790474470281964,136.19296264648438,0.72,2.1980512580885323,3.929676498758926,200
127,-12.007184958933891,143.93275451660156,0.65,2.067458210576516,3.344123787310856,200
128,12.517540569951805,103.46923065185547,0.65,1.872273203537788,3.6824178573293187,200
129,-1.5026467020743937,130.89236450195312,0.51,2.0580393002496704,4.500911076196323,200
130,-13.713025431375904,132.89132690429688,0.53,2.6221276192457847,4.4135705297211185,200
131,-26.175935145807845,274.2135314941406,0.58,2.675354379552341,4.281328571831671,200
132,-7.965404509734867,163.63018798828125,0.6,2.1181528607156843,4.322440426399958,200
133,-16.671308599465455,136.1090545654297,0.64,2.5160280474758316,3.7974051705350624,200
134,-19.73997734194129,118.41753387451172,0.51,2.676617137303928,5.342456304798286,200
135,-22.431412804891217,132.60484313964844,0.73,2.4269172138842388,3.482876368043932,200
136,4.43938547619517,215.57247924804688,0.56,1.7936192099431474,3.429613996265282,200
137,-9.739617476562913,90.53614044189453,0.71,1.9815529011499136,3.6411725464443325,200
138,0.30947039840226154,111.87146759033203,0.64,2.3961085349734663,4.092796440617805,200
139,-2.7822286356905366,100.5416259765625,0.56,1.875561434086904,4.515241851190899,200
140,5.863643971229273,116.3145523071289,0.62,2.5205925693632576,4.342341784998364,200
141,9.686786377524363,123.27928924560547,0.7,2.417275287440169,3.5537868101497185,200
142,-13.628970237599852,84.31147766113281,0.61,2.491106612451608,4.219362604847744,200
143,13.7892784665273,157.5701446533203,0.73,2.3110072436379894,3.9810803696293804,200
144,-11.0584611649113,173.16342163085938,0.62,2.2426034046100214,3.4261538621931935,200
145,-11.9239936244957,103.46501922607422,0.77,2.235642017255923,3.1168123602129794,200
146,15.46404368880772,106.72002410888672,0.64,1.9119684768288123,3.924633935378411,200
147,-8.051100175421645,72.17381286621094,0.71,2.236981959589164,3.8884144497550017,200
148,-11.840459434721502,92.84425354003906,0.56,2.4765772341008714,4.856528828206894,200
149,-7.51985432260625,107.90311431884766,0.64,2.4911582991164307,4.015004838879363,200
150,-2.707657395335737,84.55581665039062,0.62,2.372791396578609,4.306883253351285,200
151,-12.913714174290092,111.98554992675781,0.54,2.4166609230697933,4.775981206911215,200
152,-21.416540236707355,134.6001434326172,0.58,2.6421327909281858,4.865023643987131,200
153,-24.135252473659108,159.04376220703125,0.53,2.8959971196157035,4.394774617221075,200
154,-5.56508283695041,116.73228454589844,0.58,2.4850650389220803,4.192227283595255,200
155,-22.917270463774905,219.22271728515625,0.54,2.5672780037961247,4.558730723776026,200
156,-1.9541208446969662,95.84996795654297,0.53,2.3512340153897475,4.381764283757386,200
157,-11.261292579770547,68.4264907836914,0.66,2.424371476983414,3.927132027162756,200
158,-10.163281254576091,138.5574951171875,0.6,2.231871789715459,3.813625597990305,200
159,-26.29198617802975,204.3097686767578,0.46,2.5309089135857126,4.8578759971887076,200
160,6.05676460638859,76.90156555175781,0.63,1.9223730816586013,4.045568989760526,200
161,-8.400939865255992,91.45978546142578,0.66,2.228972465246089,3.711736936411413,200
162,16.111061527539263,192.20912170410156,0.75,2.040284955843888,3.9257704794077917,200
163,-3.5789612524066,121.39584350585938,0.72,2.3650172247637946,3.5213528883716836,200
164,5.561490726058878,136.21836853027344,0.64,2.541298267015724,4.297867940883486,200
165,10.677415810046405,188.41041564941406,0.93,2.91444616231928,2.98262943896524,200
166,62.534435845781644,547.64013671875,0.95,2.40827130584494,2.4824207628238923,200
167,7.675393414512627,118.27628326416016,0.67,2.3867472626324147,3.5896567496979346,200
168,0.8599882160840338,87.83805084228516,0.66,2.510242802889261,4.019507223181892,200
169,-17.98544818724126,94.71361541748047,0.53,2.7156180719540157,3.6759088162486777,200
170,-20.0441346048492,121.98844909667969,0.55,2.5496209966601473,4.610125397637066,200
171,14.029754043997038,90.34835815429688,0.8,2.085456575716413,2.9416386951837503,200
172,-32.10987786758547,326.573486328125,0.69,3.255593371780485,4.154378364760303,200
173,12.759172237115024,170.1396484375,0.73,2.63202868808739,3.3246380566385367,200
174,-24.982462888118835,132.6197509765625,0.65,2.9887384622718405,3.988345900106118,200
175,58.18610100978641,440.0316467285156,0.95,2.357682122090919,2.632548838841304,200
176,-25.2052172349226,132.99681091308594,0.74,3.0917892013550916,2.94843669529307,200
177,-0.7375666163493904,60.090030670166016,0.78,2.435214503291824,3.614191096585746,200
178,-11.95472101874087,50.489200592041016,0.93,2.4507950973563686,2.720074553628606,200
179,-13.086113137515113,119.81271362304688,0.54,2.6058661463466857,4.676360225146727,200
180,16.762699753624663,141.6148681640625,0.91,2.8087505826292176,2.419354733539277,200
181,-3.1696126864217504,78.95171356201172,0.84,2.8371795881581727,3.112048011441963,200
182,1.674834964371641,55.13667678833008,0.9,2.867200736482455,3.0052469765499574,200
183,4.486869375344675,88.2066421508789,0.72,2.5509239747804253,3.11820431353125,200
184,-35.41825732560103,95.01399993896484,0.65,3.211804291066861,4.063410510507553,200
185,-16.07162446880379,58.76602554321289,0.85,2.8283635336558164,2.912370372601081,200
186,-28.022701540160135,232.0287628173828,0.9,3.1574431844177795,2.8875362988638327,200
187,6.079324672674126,114.16846466064453,0.86,2.4708953008729817,3.111294053320885,200
