episode,reward,loss,success_rate,latency,energy,adapt_time
0,-83.88016455208302,0.0,0.74,1.610285882355553,3.773257673968579,1
1,-78.9622909902612,0.0,0.46,2.3472276250751936,5.122536402736578,1
2,-80.03286812796334,0.0,0.54,1.9553103213611014,4.583987085238583,1
3,-81.64063740020846,0.0,0.71,1.548590593349922,3.6821325061713024,1
4,-84.96052171847526,0.0,0.69,1.8031713013120703,4.165156627383857,1
5,-85.73773003724705,0.0,0.56,2.2998412158968926,5.231816898702813,1
6,-83.04209310247674,0.0,0.54,2.2992340407536593,4.969289109711452,1
7,-85.47061725902401,0.0,0.56,2.2936367594518843,5.187220416528348,1
8,-77.50327086592483,0.0,0.46,2.2312596360042978,4.863342109372813,1
9,-82.96592904225986,0.0,0.71,1.581071216406787,3.8525529892979913,1
10,-79.25447460881895,0.0,0.61,1.6827825652596737,3.954424227012613,1
11,-82.81853618237287,0.0,0.68,1.6662230176043293,3.993143812135022,1
12,-81.1218079515073,0.0,0.48,2.375006636042294,5.296206671876205,1
13,-83.9864279363247,0.0,0.88,1.2906495785433656,3.216769294401578,1
14,-82.45461737458596,0.0,0.56,2.0050199879230024,4.79295739435742,1
15,-82.8019703337894,0.0,0.54,2.184503905580612,4.982186997911435,1
16,-82.62845984709905,0.0,0.46,2.6323980539150296,5.77694441806402,1
17,-77.22304982197859,0.0,0.67,1.3951866746539772,3.365548427147429,1
18,-77.21909387310467,0.0,0.45,2.1444742176392286,4.976450418536977,1
19,-82.72470517353764,0.0,0.52,2.3220767231745385,5.132174171785355,1
20,-76.55836954485648,0.0,0.49,1.930102391209164,4.455024221713069,1
21,-80.30199100446713,0.0,0.61,1.7548263495085756,4.090126334174752,1
22,-84.35118779305185,0.0,0.48,2.686834929296786,5.813079992237408,1
23,-76.68181725128532,0.0,0.46,2.1292279107433347,4.735781099255577,1
24,-78.10984947383241,0.0,0.43,2.4747769889983116,5.299785801740938,1
25,-82.95977404305057,0.0,0.51,2.3757613604709458,5.274820112519543,1
26,-77.25723120196793,0.0,0.46,2.174582509493328,4.838193789159409,1
27,-82.2442845900754,0.0,0.64,1.7998571412251005,4.1382408965867326,1
