Agent,rewards_mean,rewards_std,success_rate_mean,success_rate_std,latency_mean,latency_std,energy_mean,energy_std
Greedy,4.260595085463768,1.0990333415046114,0.54916,0.005439705874401707,2.096010913386648,0.02225329098020988,4.749035656306029,0.0412470459047918
PPO,-4.26628680846156,3.7973137964777277,0.53548,0.0213783441828408,2.15769597230957,0.06733393828970313,4.814534142639683,0.2271452967299131
Meta-RL,-8.878859773995543,2.3841383570307846,0.53312,0.02245764012535599,2.219622175976767,0.0660951804138738,4.910634650753067,0.22592002656865223
