Agent,rewards_mean,rewards_std,success_rate_mean,success_rate_std,latency_mean,latency_std,energy_mean,energy_std
Greedy,-81.18620491453622,0.1473056230781885,0.54916,0.005439705874401707,2.096010913386648,0.02225329098020988,4.749035656306029,0.0412470459047918
PPO,-81.87432690601005,0.3425103028007893,0.54868,0.012770967073796734,2.0862385458921375,0.04173002758941644,4.767551934269305,0.08036999489238998
Meta-RL,-81.69606476902312,0.36072096198178155,0.53624,0.008739244818632821,2.097404977704347,0.03608577009380419,4.846002192473591,0.09412510391677288
