Agent,rewards_mean,rewards_std,success_rate_mean,success_rate_std,latency_mean,latency_std,energy_mean,energy_std
Greedy,5.177203090917874,1.0901333412214023,0.54916,0.005439705874401707,1.7510642862087356,0.016855361529265957,4.749035656306029,0.0412470459047918
PPO,-7.657527840446396,3.309051770693388,0.6121999999999999,0.07922918654132449,2.3018057887095402,0.2551436985278189,4.269046033538467,0.4896556231533026
Meta-RL,-5.118086644422081,5.064925592820982,0.70104,0.10998919219632439,2.578098523585154,0.4782055320355053,3.688999586548418,0.7345980167431101
